Date : 2021-04-12 11:59:06
Directory : /Users/summerpray/Documents/GitHub/RM_Infantry
Total : 236 files,  62860 codes, 55181 comments, 16977 blanks, all 135018 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        111 |     34,046 |     31,788 |      8,557 |     74,391 |
| C++      |        125 |     28,814 |     23,393 |      8,420 |     60,627 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        236 |     62,860 |     55,181 |     16,977 |    135,018 |
| CMSIS                                                                                             |         10 |     12,132 |      3,214 |      2,413 |     17,759 |
| FWLIB                                                                                             |         79 |     23,529 |     31,419 |      7,163 |     62,111 |
| FWLIB/inc                                                                                         |         37 |      7,844 |      7,188 |      2,746 |     17,778 |
| FWLIB/src                                                                                         |         42 |     15,685 |     24,231 |      4,417 |     44,333 |
| user                                                                                              |        147 |     27,199 |     20,548 |      7,401 |     55,148 |
| user/AHRS                                                                                         |         12 |      1,027 |        289 |        338 |      1,654 |
| user/APP                                                                                          |         32 |      4,555 |      1,619 |      1,205 |      7,379 |
| user/APP/CAN_receive                                                                              |          2 |        233 |         60 |         70 |        363 |
| user/APP/FreeRTOS_middleware                                                                      |          2 |         33 |         32 |         12 |         77 |
| user/APP/INS_task                                                                                 |          2 |        310 |         73 |         98 |        481 |
| user/APP/calibrate_task                                                                           |          2 |          0 |          0 |          2 |          2 |
| user/APP/chassis_task                                                                             |          4 |      1,090 |        445 |        287 |      1,822 |
| user/APP/detect_task                                                                              |          2 |         39 |         20 |          6 |         65 |
| user/APP/gimbal_key_control                                                                       |          2 |        100 |         38 |         37 |        175 |
| user/APP/gimbal_task                                                                              |          4 |      1,195 |        359 |        318 |      1,872 |
| user/APP/pid                                                                                      |          2 |        116 |         33 |         15 |        164 |
| user/APP/remote_control                                                                           |          2 |        240 |         62 |         43 |        345 |
| user/APP/shoot                                                                                    |          2 |         77 |         33 |         20 |        130 |
| user/APP/shoot_task                                                                               |          2 |        864 |        344 |        202 |      1,410 |
| user/APP/start_task                                                                               |          2 |        209 |         93 |         75 |        377 |
| user/APP/user_task                                                                                |          2 |         49 |         27 |         20 |         96 |
| user/DSP                                                                                          |          5 |      4,367 |      4,156 |      1,792 |     10,315 |
| user/DSP/Include                                                                                  |          5 |      4,367 |      4,156 |      1,792 |     10,315 |
| user/FreeRTOS                                                                                     |         28 |      8,930 |     12,289 |      2,448 |     23,667 |
| user/FreeRTOS/include                                                                             |         15 |      1,864 |      8,524 |        685 |     11,073 |
| user/FreeRTOS/portable                                                                            |          7 |      1,216 |      1,147 |        373 |      2,736 |
| user/FreeRTOS/portable/MemMang                                                                    |          5 |        743 |        700 |        208 |      1,651 |
| user/FreeRTOS/portable/RVDS                                                                       |          2 |        473 |        447 |        165 |      1,085 |
| user/FreeRTOS/portable/RVDS/ARM_CM4F                                                              |          2 |        473 |        447 |        165 |      1,085 |
| user/hardware                                                                                     |         42 |      2,269 |        289 |        626 |      3,184 |
| user/hardware/adc                                                                                 |          2 |         59 |          0 |         16 |         75 |
| user/hardware/buzzer                                                                              |          2 |         48 |          0 |         16 |         64 |
